Forecast_Cd,Forecast_Name,fecha,mth,dia_sem,dia_sem_txt,cierre_tj,Cant_Trx,flag_tj_vto,flag_tv_vto,flag_tm_vto,flag_tj_cierre,flag_tv_cierre,flag_tm_cierre
201,HOLA OPERADOR,1/20/2012,201201,6,VIE,0,8688,,,,,,
202,IVR,1/20/2012,201201,6,VIE,0,11806,,,,,,
500,MOBILE,1/20/2012,201201,6,VIE,0,1062,,,,,,
301,QDB,1/20/2012,201201,6,VIE,0,20075,,,,,,
100,SUCURSALES,1/20/2012,201201,6,VIE,0,43705,,,,,,
302,TAS,1/20/2012,201201,6,VIE,0,0,,,,,,
701,TS,1/20/2012,201201,6,VIE,0,0,,,,,,
602,ACCESS BANKING,1/21/2012,201201,7,SAB,0,62896,,,,,,
400,ATM,1/21/2012,201201,7,SAB,0,49825,,,,,,
601,CONNECTION BANKING,1/21/2012,201201,7,SAB,0,13,,,,,,
201,HOLA OPERADOR,1/21/2012,201201,7,SAB,0,8,,,,,,
202,IVR,1/21/2012,201201,7,SAB,0,0,,,,,,
500,MOBILE,1/21/2012,201201,7,SAB,0,841,,,,,,
301,QDB,1/21/2012,201201,7,SAB,0,0,,,,,,
100,SUCURSALES,1/21/2012,201201,7,SAB,0,0,,,,,,
302,TAS,1/21/2012,201201,7,SAB,0,0,,,,,,
701,TS,1/21/2012,201201,7,SAB,0,0,,,,,,
602,ACCESS BANKING,1/22/2012,201201,1,DOM,0,57378,,,,,,
400,ATM,1/22/2012,201201,1,DOM,0,26839,,,,,,
601,CONNECTION BANKING,1/22/2012,201201,1,DOM,0,5,,,,,,
201,HOLA OPERADOR,1/22/2012,201201,1,DOM,0,0,,,,,,
202,IVR,1/22/2012,201201,1,DOM,0,0,,,,,,
500,MOBILE,1/22/2012,201201,1,DOM,0,726,,,,,,
301,QDB,1/22/2012,201201,1,DOM,0,0,,,,,,
100,SUCURSALES,1/22/2012,201201,1,DOM,0,0,,,,,,
302,TAS,1/22/2012,201201,1,DOM,0,0,,,,,,
701,TS,1/22/2012,201201,1,DOM,0,0,,,,,,
602,ACCESS BANKING,1/23/2012,201201,2,LUN,0,269857,,,,,,
400,ATM,1/23/2012,201201,2,LUN,0,62112,,,,,,
601,CONNECTION BANKING,1/23/2012,201201,2,LUN,0,50111,,,,,,
201,HOLA OPERADOR,1/23/2012,201201,2,LUN,0,10207,,,,,,
202,IVR,1/23/2012,201201,2,LUN,0,16539,,,,,,
500,MOBILE,1/23/2012,201201,2,LUN,0,1133,,,,,,
301,QDB,1/23/2012,201201,2,LUN,0,20931,,,,,,
100,SUCURSALES,1/23/2012,201201,2,LUN,0,46204,,,,,,
302,TAS,1/23/2012,201201,2,LUN,0,0,,,,,,
701,TS,1/23/2012,201201,2,LUN,0,0,,,,,,
602,ACCESS BANKING,1/24/2012,201201,3,MAR,0,194835,,,,,,
400,ATM,1/24/2012,201201,3,MAR,0,59545,,,,,,
601,CONNECTION BANKING,1/24/2012,201201,3,MAR,0,48683,,,,,,
201,HOLA OPERADOR,1/24/2012,201201,3,MAR,0,9279,,,,,,
202,IVR,1/24/2012,201201,3,MAR,0,10496,,,,,,
500,MOBILE,1/24/2012,201201,3,MAR,0,1139,,,,,,
301,QDB,1/24/2012,201201,3,MAR,0,17183,,,,,,
100,SUCURSALES,1/24/2012,201201,3,MAR,0,40423,,,,,,
302,TAS,1/24/2012,201201,3,MAR,0,0,,,,,,
701,TS,1/24/2012,201201,3,MAR,0,0,,,,,,
602,ACCESS BANKING,1/25/2012,201201,4,MIE,0,196492,,,,,,
400,ATM,1/25/2012,201201,4,MIE,0,59789,,,,,,
601,CONNECTION BANKING,1/25/2012,201201,4,MIE,0,50342,,,,,,
201,HOLA OPERADOR,1/25/2012,201201,4,MIE,0,8428,,,,,,
202,IVR,1/25/2012,201201,4,MIE,0,9804,,,,,,
500,MOBILE,1/25/2012,201201,4,MIE,0,1261,,,,,,
301,QDB,1/25/2012,201201,4,MIE,0,16405,,,,,,
100,SUCURSALES,1/25/2012,201201,4,MIE,0,39238,,,,,,
302,TAS,1/25/2012,201201,4,MIE,0,0,,,,,,
701,TS,1/25/2012,201201,4,MIE,0,0,,,,,,
602,ACCESS BANKING,1/26/2012,201201,5,JUE,3,180191,,,,,,
400,ATM,1/26/2012,201201,5,JUE,3,57045,,,,,,
601,CONNECTION BANKING,1/26/2012,201201,5,JUE,3,48757,,,,,,
201,HOLA OPERADOR,1/26/2012,201201,5,JUE,3,8012,,,,,,
202,IVR,1/26/2012,201201,5,JUE,3,9960,,,,,,
500,MOBILE,1/26/2012,201201,5,JUE,3,1071,,,,,,
301,QDB,1/26/2012,201201,5,JUE,3,14849,,,,,,
100,SUCURSALES,1/26/2012,201201,5,JUE,3,39614,,,,,,
302,TAS,1/26/2012,201201,5,JUE,3,0,,,,,,
701,TS,1/26/2012,201201,5,JUE,3,0,,,,,,
602,ACCESS BANKING,1/27/2012,201201,6,VIE,0,196304,,,,,,
400,ATM,1/27/2012,201201,6,VIE,0,69195,,,,,,
601,CONNECTION BANKING,1/27/2012,201201,6,VIE,0,45962,,,,,,
201,HOLA OPERADOR,1/27/2012,201201,6,VIE,0,8204,,,,,,
202,IVR,1/27/2012,201201,6,VIE,0,11793,,,,,,
500,MOBILE,1/27/2012,201201,6,VIE,0,1472,,,,,,
301,QDB,1/27/2012,201201,6,VIE,0,16912,,,,,,
100,SUCURSALES,1/27/2012,201201,6,VIE,0,40860,,,,,,
302,TAS,1/27/2012,201201,6,VIE,0,0,,,,,,
701,TS,1/27/2012,201201,6,VIE,0,0,,,,,,
602,ACCESS BANKING,1/28/2012,201201,7,SAB,0,84072,,,,,,
400,ATM,1/28/2012,201201,7,SAB,0,48352,,,,,,
601,CONNECTION BANKING,1/28/2012,201201,7,SAB,0,15,,,,,,
201,HOLA OPERADOR,1/28/2012,201201,7,SAB,0,55,,,,,,
202,IVR,1/28/2012,201201,7,SAB,0,0,,,,,,
500,MOBILE,1/28/2012,201201,7,SAB,0,1180,,,,,,
301,QDB,1/28/2012,201201,7,SAB,0,0,,,,,,
100,SUCURSALES,1/28/2012,201201,7,SAB,0,0,,,,,,
302,TAS,1/28/2012,201201,7,SAB,0,0,,,,,,
701,TS,1/28/2012,201201,7,SAB,0,0,,,,,,
602,ACCESS BANKING,1/29/2012,201201,1,DOM,0,65223,,,,,,
400,ATM,1/29/2012,201201,1,DOM,0,25071,,,,,,
601,CONNECTION BANKING,1/29/2012,201201,1,DOM,0,6,,,,,,
201,HOLA OPERADOR,1/29/2012,201201,1,DOM,0,0,,,,,,
202,IVR,1/29/2012,201201,1,DOM,0,0,,,,,,
500,MOBILE,1/29/2012,201201,1,DOM,0,820,,,,,,
301,QDB,1/29/2012,201201,1,DOM,0,0,,,,,,
100,SUCURSALES,1/29/2012,201201,1,DOM,0,0,,,,,,
302,TAS,1/29/2012,201201,1,DOM,0,0,,,,,,
701,TS,1/29/2012,201201,1,DOM,0,0,,,,,,
602,ACCESS BANKING,1/30/2012,201201,2,LUN,0,355249,,,,,,
400,ATM,1/30/2012,201201,2,LUN,0,63476,,,,,,
601,CONNECTION BANKING,1/30/2012,201201,2,LUN,0,57025,,,,,,
201,HOLA OPERADOR,1/30/2012,201201,2,LUN,0,9119,,,,,,
202,IVR,1/30/2012,201201,2,LUN,0,22534,,,,,,
500,MOBILE,1/30/2012,201201,2,LUN,0,1598,,,,,,
301,QDB,1/30/2012,201201,2,LUN,0,20093,,,,,,
100,SUCURSALES,1/30/2012,201201,2,LUN,0,48532,,,,,,
302,TAS,1/30/2012,201201,2,LUN,0,0,,,,,,
701,TS,1/30/2012,201201,2,LUN,0,0,,,,,,
602,ACCESS BANKING,1/31/2012,201201,3,MAR,0,338919,,,,,,
400,ATM,1/31/2012,201201,3,MAR,0,82697,,,,,,
601,CONNECTION BANKING,1/31/2012,201201,3,MAR,0,51237,,,,,,
201,HOLA OPERADOR,1/31/2012,201201,3,MAR,0,10008,,,,,,
202,IVR,1/31/2012,201201,3,MAR,0,17034,,,,,,
